Name,Sex,Age,Height,Team,NOC,Games,Year,Season,City,Sport,Medal,Event
AALERUD Katrine,F,27.0,,Norway,NOR,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
ABAD Nestor,M,28.0,165.0,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
ABAGNALE Giovanni,M,26.0,198.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
ABALDE Alberto,M,26.0,200.0,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
ABALDE Tamara,F,32.0,192.0,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
ABAROA Cesar,M,25.0,179.0,Chile,CHI,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
ABASS Abobakr,M,23.0,,Sudan,SUD,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
ABBAGNALE Vincenzo,M,28.0,187.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
ABBASALI Hamideh,F,31.0,,Islamic Republic of Iran,IRI,Tokyo 2020,2020,Summer,Tokyo,Karate,,
ABBASOV Islam,M,25.0,,Azerbaijan,AZE,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
ABBINGH Lois,F,29.0,177.0,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Handball,,
ABBOT Emily,F,24.0,160.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Rhythmic Gymnastics,,
ABDALLA Abubaker Haydar,M,25.0,,Qatar,QAT,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
ABDALRASOOL Mohamed,M,28.0,,Sudan,SUD,Tokyo 2020,2020,Summer,Tokyo,Judo,,
ABDEL LATIF Radwa,F,32.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
ABDEL RAZEK Samy,M,41.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
ABDELAAL Mohamed,M,31.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Judo,,
ABDELAZIZ Abdalla,M,22.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Karate,,
ABDELAZIZ Farah,F,29.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
ABDELMAWGOUD Mohamed,M,27.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Judo,,
ABDELMOTTALEB Diaaeldin Kamal Gouda,M,28.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
ABDELRAHMAN Ihab,M,32.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
ABDELSALAM Mohamed,M,24.0,177.0,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Football,,
ABDELSALAM Nour,F,28.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Taekwondo,,
ABDELWAHED Ahmed,M,25.0,,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
